,ticker,time,open,close,low,high,volume
0,AAPL,2020-10-05 07:00:00-04:00,114.43,114.43,114.43,114.43,100
1,AAPL,2020-10-05 07:28:00-04:00,114.05,114.05,114.05,114.05,200
2,AAPL,2020-10-05 07:49:00-04:00,114.221,114.221,114.221,114.221,100
3,AAPL,2020-10-05 07:51:00-04:00,114.289,114.289,114.289,114.289,100
4,AAPL,2020-10-05 07:52:00-04:00,114.281,114.281,114.281,114.281,100
5,AAPL,2020-10-05 07:53:00-04:00,114.249,114.249,114.249,114.249,100
6,AAPL,2020-10-05 07:56:00-04:00,114.089,114.089,114.089,114.089,100
7,AAPL,2020-10-05 08:01:00-04:00,114.029,114.029,114.029,114.029,100
8,AAPL,2020-10-05 08:02:00-04:00,113.961,113.961,113.961,113.961,200
9,AAPL,2020-10-05 08:04:00-04:00,113.996,113.996,113.996,113.996,200
10,AAPL,2020-10-05 08:05:00-04:00,114.029,114.029,114.029,114.029,100
11,AAPL,2020-10-05 08:06:00-04:00,114.11,114.119,114.11,114.119,500
12,AAPL,2020-10-05 08:07:00-04:00,114.119,114.119,114.119,114.119,100
13,AAPL,2020-10-05 08:15:00-04:00,113.96,113.96,113.96,113.96,202
14,AAPL,2020-10-05 08:17:00-04:00,113.94,113.949,113.94,113.949,600
15,AAPL,2020-10-05 08:26:00-04:00,113.901,113.939,113.901,113.939,200
16,AAPL,2020-10-05 08:44:00-04:00,113.739,113.739,113.739,113.739,100
17,AAPL,2020-10-05 08:51:00-04:00,113.921,113.921,113.921,113.921,100
18,AAPL,2020-10-05 08:53:00-04:00,113.999,113.999,113.999,113.999,100
19,AAPL,2020-10-05 08:54:00-04:00,113.971,113.971,113.971,113.971,100
20,AAPL,2020-10-05 08:56:00-04:00,113.989,113.989,113.989,113.989,100
21,AAPL,2020-10-05 08:58:00-04:00,113.961,113.961,113.961,113.961,186
22,AAPL,2020-10-05 09:05:00-04:00,113.979,113.979,113.979,113.979,101
23,AAPL,2020-10-05 09:07:00-04:00,114.05,114.05,114.05,114.05,100
24,AAPL,2020-10-05 09:27:00-04:00,113.939,113.939,113.939,113.939,100
25,AAPL,2020-10-05 09:28:00-04:00,113.96,113.949,113.94,113.96,300
26,AAPL,2020-10-05 09:30:00-04:00,113.93,113.94,113.55,114.01,29214
27,AAPL,2020-10-05 09:31:00-04:00,113.96,113.93,113.81,114.13,30915
28,AAPL,2020-10-05 09:32:00-04:00,113.96,113.911,113.82,113.975,24391
29,AAPL,2020-10-05 09:33:00-04:00,113.895,114.01,113.78,114.01,26640
30,AAPL,2020-10-05 09:34:00-04:00,113.98,114.11,113.82,114.129,14537
31,AAPL,2020-10-05 09:35:00-04:00,114.15,114.12,114.02,114.18,11744
32,AAPL,2020-10-05 09:36:00-04:00,114.16,114.23,114.01,114.265,18269
33,AAPL,2020-10-05 09:37:00-04:00,114.23,114.24,114.129,114.28,13851
34,AAPL,2020-10-05 09:38:00-04:00,114.23,114.23,114.14,114.28,11026
35,AAPL,2020-10-05 09:39:00-04:00,114.22,114.19,114.16,114.28,10654
36,AAPL,2020-10-05 09:40:00-04:00,114.18,114.17,114.1,114.2,14017
37,AAPL,2020-10-05 09:41:00-04:00,114.16,114.14,114.11,114.31,18351
38,AAPL,2020-10-05 09:42:00-04:00,114.17,114.12,114.085,114.22,15026
39,AAPL,2020-10-05 09:43:00-04:00,114.1,114.135,114.08,114.185,17102
40,AAPL,2020-10-05 09:44:00-04:00,114.12,113.98,113.97,114.13,15009
41,AAPL,2020-10-05 09:45:00-04:00,114,114.07,113.95,114.11,14379
42,AAPL,2020-10-05 09:46:00-04:00,114.05,114.14,114.04,114.2,17088
